Country,City,Latitude (Degrees),Longitude (Degrees),Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
SD,kutum,14.2,24.6667,65.73,25,0,5.21
SO,eyl,7.9803,49.8164,78.44,64,73,13.58
JP,oyama,36.3,139.8,61.0,94,75,11.5
CD,bandundu,-3.3167,17.3667,75.13,87,83,3.15
CN,tongren,27.7172,109.1853,54.14,88,99,5.86
RU,muyezerskiy,63.9333,31.65,1.2,93,28,7.34
ID,boyolangu,-8.1181,111.8935,84.79,69,80,3.22
PH,sarangani,5.4033,125.4636,80.02,78,100,3.4
VN,cam ranh,11.9214,109.1591,78.8,50,20,12.66
CA,swan river,52.1058,-101.2676,-14.8,64,0,12.66
SY,abu samrah,35.3029,37.1841,53.06,68,0,4.45
US,cortland,42.6001,-76.083,19.4,93,75,1.97
MX,guerrero negro,27.9769,-114.0611,56.98,80,40,9.78
IR,astaneh-ye ashrafiyeh,37.2596,49.9444,50.0,87,75,2.93
CA,nipawin,53.3668,-104.0009,-14.8,70,1,8.05
BS,marsh harbour,26.5412,-77.0636,75.36,86,0,18.05
ID,majene,-3.5403,118.9707,85.59,65,94,7.99
NZ,te anau,-45.4167,167.7167,60.53,60,17,6.89
IN,bhainsdehi,21.6467,77.6325,84.24,20,3,6.46
RU,borovichi,58.3878,33.9155,-11.24,88,0,4.21
KZ,shakhtinsk,49.71,72.5872,23.0,74,0,22.37
TZ,mabama,-5.1333,32.5333,66.2,100,20,3.94
CN,erenhot,43.6475,111.9767,17.47,89,100,19.75
PG,aitape,-3.1374,142.3475,79.29,84,99,7.16
NO,rorvik,64.8621,11.2373,30.2,59,0,10.36
NA,rundu,-17.9333,19.7667,67.73,80,100,8.48
VE,san carlos,9.6612,-68.5827,73.83,79,47,3.42
PH,aloleng,16.1307,119.7824,80.69,70,77,13.09
RU,korfovskiy,48.2183,135.0564,14.0,34,0,2.24
KZ,petropavl,54.8753,69.1628,24.8,74,20,17.9
RS,cajetina,43.7498,19.7127,14.0,92,0,9.22
RU,urusha,54.05,122.9,-6.25,86,100,5.79
PR,barceloneta,18.4505,-66.5385,71.01,91,4,9.44
PT,ribeira brava,32.65,-17.0667,54.0,71,48,1.01
MG,beloha,-25.1667,45.05,81.72,59,100,10.29
SE,ornskoldsvik,63.2909,18.7153,5.0,92,0,4.61
IN,naliya,23.2667,68.8333,78.46,43,18,8.25
BR,maragogi,-9.0122,-35.2225,76.93,87,75,6.4
RU,almaznyy,48.0448,40.045,12.2,85,0,4.47
SO,bosaso,11.2842,49.1816,75.2,73,20,11.5
MZ,quelimane,-17.8786,36.8883,75.2,94,75,4.61
AU,mount isa,-20.7333,139.5,93.2,40,75,8.05
US,north bend,43.4065,-124.2243,48.2,93,90,5.75
GB,tamworth,52.634,-1.6959,42.01,95,100,5.01
US,jasper,37.2001,-94.3502,0.0,78,90,9.22
US,orange,33.7,-117.7675,57.2,62,75,5.75
DZ,sidi ali,36.0998,0.4206,47.01,79,12,7.05
ID,balikpapan,-1.2675,116.8289,86.76,62,78,7.38
PE,nauta,-4.5061,-73.5757,74.71,91,99,1.41
AR,concordia,-31.393,-58.0209,71.01,100,76,1.86
BR,alta floresta,-9.8756,-56.0861,75.2,100,75,3.44
AU,burnie,-41.0667,145.9167,61.0,85,100,5.01
LY,jalu,29.0331,21.5482,52.5,81,0,8.5
HT,jacmel,18.2342,-72.5347,77.0,69,14,18.41
ID,pangkalanbuun,-2.6833,111.6167,89.91,56,83,3.0
US,gallup,35.5281,-108.7426,24.8,86,1,3.44
IT,melfi,40.9965,15.6514,27.0,86,75,16.11
AU,charters towers,-20.1,146.2667,87.66,58,84,18.48
CO,nuqui,5.7125,-77.2708,77.72,84,67,4.18
IN,bikaner,28.0167,73.3,81.97,17,0,7.76
ID,merauke,-8.4667,140.3333,80.4,82,96,14.23
US,ardmore,34.1743,-97.1436,6.01,72,40,10.36
RU,aksarayskiy,46.7924,48.0119,24.8,74,0,2.24
RU,verkhoturye,58.8627,60.8054,-9.71,89,100,4.88
RU,kyshtovka,56.555,76.6271,26.2,94,97,14.14
TO,neiafu,-18.65,-173.9833,82.4,78,20,6.91
OM,nizwa,22.9333,57.5333,78.33,21,0,3.47
NG,hadejia,12.4498,10.0444,65.84,25,0,7.2
MG,ambatofinandrahana,-20.55,46.8,65.07,83,100,3.0
ID,sabang,5.8933,95.3214,83.17,75,23,17.11
RU,ust-karsk,52.7011,118.8077,-1.26,83,98,3.87
RU,terney,45.0503,136.6092,29.44,96,100,15.61
NC,tadine,-21.55,167.8833,82.31,71,19,6.58
PK,tangwani,28.2787,68.9972,68.0,73,0,4.52
FR,epinal,48.1833,6.45,32.0,69,0,4.61
IT,lasa,46.6166,10.7002,23.0,72,0,3.44
MA,nador,35.174,-2.9287,59.0,77,75,8.05
NZ,okato,-39.2,173.8833,60.01,88,100,17.0
MY,sri aman,1.2376,111.4621,87.8,70,40,5.75
CN,heihe,50.2441,127.4902,-0.4,55,0,6.71
IT,santa flavia,38.085,13.5351,44.01,51,98,20.0
PE,mala,-12.6581,-76.6308,70.79,79,0,3.09
JP,hasaki,35.7333,140.8333,62.6,100,75,27.63
CN,huilong,31.8111,121.655,48.99,69,93,8.99
GF,grand-santi,4.25,-54.3833,68.81,96,100,2.15
CN,jining,35.405,116.5814,45.14,46,47,5.73
PH,kinablangan,7.6947,126.5503,82.44,76,36,6.11
RO,cata,46.0833,25.2667,23.0,83,100,3.0
VE,machiques,10.0644,-72.545,75.94,71,43,3.91
ID,rantauprapat,2.1,99.8333,90.23,51,55,4.7
PT,barcelos,41.5388,-8.6151,48.2,81,0,4.61
US,fallon,39.4735,-118.7774,42.8,81,90,8.05
RU,yar-sale,66.8333,70.8333,-20.04,87,100,17.36
AZ,xudat,41.631,48.681,40.03,71,61,6.71
CV,praia,14.9215,-23.5087,71.6,53,40,16.11
KZ,ekibastuz,51.6667,75.3667,26.24,95,100,9.82
NZ,masterton,-40.9597,175.6575,66.0,91,100,1.01
CN,yining,29.0361,114.5636,70.3,42,24,3.98
BR,sao joao da barra,-21.6403,-41.0511,75.29,89,100,10.07
PH,carlagan,14.975,122.0456,77.52,78,29,11.61
IN,mangrol,21.1167,70.1167,75.36,58,0,4.59
MZ,maxixe,-23.8597,35.3472,77.0,100,75,10.4
CI,tabou,4.423,-7.3528,77.97,90,38,6.33
PE,barranca,-10.75,-77.7667,69.64,83,0,3.98
CN,hanyang,32.1371,105.5126,45.0,45,99,5.99
